"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk",408880,40.05,10209.238451935082," Odświeżono dnia 29 kwietnia 2025","⭐Dni Otwarte⭐ 18-19.04⭐ Duże Rabaty⭐ Hala Garażowa","https://www.otodom.pl/pl/oferta/dni-otwarte-18-19-04-duze-rabaty-hala-garazowa-ID4wZu4.html"
"Gdańsk",659000,64.5,10217.054263565891," 24 kwietnia 2025","Sprzedam mieszkanie po remoncie.","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-po-remoncie-ID4w5rJ.html"
"Gdańsk",419000,41.0,10219.512195121952," 13 kwietnia 2025","Mieszkanie od zaraz, 2 piętro, miejsce w hali","https://www.otodom.pl/pl/oferta/mieszkanie-od-zaraz-2-pietro-miejsce-w-hali-ID4w5lH.html"
"Gdańsk, Wrzeszcz",1299000,127.0,10228.346456692914," 03 kwietnia 2025","Loft/ Wrzeszcz/ Kominek/ Taras/2 Poziomy","https://www.otodom.pl/pl/oferta/loft-wrzeszcz-kominek-taras-2-poziomy-ID4w5hB.html"
"Gdańsk",528766,51.65,10237.483059051307," Dzisiaj o 11:58","ZACHODNIE M3 • Klucze w tym roku • Prowizja 0%","https://www.otodom.pl/pl/oferta/zachodnie-m3-klucze-w-tym-roku-prowizja-0-ID4vclU.html"
"Gdańsk",726474,70.87,10250.797234372794," 10 kwietnia 2025","4-pokojowe mieszkanie 70m2 + ogródek Bez Prowizji","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-70m2-ogrodek-bez-prowizji-ID4ujJc.html"
"Gdańsk, Pieck",640000,62.3,10272.873194221509,"Migowo - 09 kwietnia 2025","Atrakcyjna oferta sprzedaży mieszkania","https://www.otodom.pl/pl/oferta/atrakcyjna-oferta-sprzedazy-mieszkania-ID4wSOI.html"
"Gdańsk, Osowa",535000,52.0,10288.461538461539," 05 kwietnia 2025","Sprzedam duże, 2-pokojowe, odświeżone mieszkanie","https://www.otodom.pl/pl/oferta/sprzedam-duze-2-pokojowe-odswiezone-mieszkanie-ID4wOzs.html"
"Gdańsk, Jasień",650000,63.11,10299.477103470132," 22 kwietnia 2025","3-pokojowe mieszkanie 63m2 + balkon","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-ID4uo29.html"
"Gdańsk, Jasień",780000,75.67,10307.91595083917," 10 kwietnia 2025","3 pokoje z dwoma balkonami, dwoma miejscami w hali","https://www.otodom.pl/pl/oferta/3-pokoje-z-dwoma-balkonami-dwoma-miejscami-w-hali-ID4wEnO.html"
"Gdańsk, Śródmieście",1095000,106.0,10330.188679245282," 25 kwietnia 2025","Klimatyczne mieszkanie w Centrum Gdańska","https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-w-centrum-gdanska-ID4uETi.html"
"Gdańsk, Jasień",699000,67.4,10370.919881305637," 25 kwietnia 2025","Słoneczne duże mieszkanie z pięknym widokiem","https://www.otodom.pl/pl/oferta/sloneczne-duze-mieszkanie-z-pieknym-widokiem-ID4wH04.html"
"Gdańsk",388700,37.45,10379.172229639518," 24 kwietnia 2025","Promocja przed majówką->12min od Starówki->Hala","https://www.otodom.pl/pl/oferta/promocja-przed-majowka-12min-od-starowki-hala-ID4v63a.html"
"Gdańsk",685000,65.91,10392.96009710211," 23 kwietnia 2025","do wprowadzenia|widne|niski czynsz|duży strych","https://www.otodom.pl/pl/oferta/do-wprowadzenia-widne-niski-czynsz-duzy-strych-ID4v35i.html"
"Gdańsk, Jasień",512000,49.21,10404.389351757773," 22 kwietnia 2025","2-pokojowe mieszkanie 49m2 + balkon Bezpośrednio","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-49m2-balkon-bezposrednio-ID4uo2v.html"
"Gdańsk",388240,37.24,10425.349087003222," Odświeżono Dzisiaj o 09:18","⭐2 pokoje + Hala Garażowa⭐ Piekny Ogródek","https://www.otodom.pl/pl/oferta/2-pokoje-hala-garazowa-piekny-ogrodek-ID4v11P.html"
"Gdańsk",388940,37.29,10430.142129257174," 22 kwietnia 2025","⭐2 pokoje + Ogródek⭐ Dni Otwarte⭐ 12 min Centrum","https://www.otodom.pl/pl/oferta/2-pokoje-ogrodek-dni-otwarte-12-min-centrum-ID4v3Ks.html"
"Gdańsk",495000,47.43,10436.432637571157," 21 kwietnia 2025","2-pokojowe mieszkanie 47m2 + ogródek Bezpośrednio","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-ogrodek-bezposrednio-ID4umSu.html"
